Articulo_ID,CUI,Fecha_Publicacion_Articulo,Titulo_Articulo,Descripcion_Articulo,Medio,URL_Acortada,Pais_Origen_Articulo,Cod_Continente,Idioma,Categoria_tematica,Relevancia_Mencion,Frecuencia_Mencion,Impacto_Articulo,Keywords,Clasificacion_Sust_Estup_Decomisada,Tipo_Sus_Estup_Decomisada,Cant_Sust_Estup_Sintetica_incautada,Unidad,Fueza_interviniente,Ubicacion_Secuestro,Region,Sub region,Pais,Provincia,Distrito,Alfa_2,ISO_3166_2,Geo_Pais,Geo_Prov,Geo_Distrito,Fecha,Dia,Semana,Quincena,Mes_Largo,Trimestre,Año
,A5,13/01/2025,,,,,,,,,,,,,Alucinogeno,LSD,"0,00",Sin datos,,,,,,,,,,"-37.650894, -65.897084","-32.681337, -63.045247","-32.174237, -64.452472",13/01/2025,13,3,1,Enero,T1,2025
A0000006,A6,13/01/2025,Hombre fue capturado por ingresar con tusi camuflado en toallas higiénicas a Uri en Bogotá,"El sujeto intentaba pasar más de 50 dosis a su pareja, recluida por porte ilegal de armas.",www.eltiempo.com,https://tinyurl.com/bdftjbft,Colombia,SA,ES,Incidente,Alta,Media,Medio,"TUSI, Toallas Higienicas, URI de Puente Aranda",Alucinogeno,TUSI,50,Dosis,Policia Metropolitana de Colombia,Bogota,America,America del Sur,Colombia,Cundinamarca,Bogota,CO,ISO 3166-2:CO,"4.068636, -72.886327","4.623469, -74.090936","4.661261, -74.096815",13/01/2025,13,3,1,Enero,T1,2025
A0000007,A7,14/01/2025,Argentina: investigan a un enfermero por el robo de tres ampollas de fentanilo de un hospital,"El hombre, de 45 años, fue imputado por hurto agravado tras recuperarse las ampollas en su casa.",www.eltiempo.com,https://tinyurl.com/4mx3jac6,Colombia,SA,ES,Incidente,Alta,Media,Medio,"Fentanilo, Enfermero, Robo Ampollas",Opioide Sintetico,Fentanilo,3,Ampollas,Policia de la Provincia de Buenos Aires,Isidro Casanova,America,America del Sur,Argentina,Buenos Aires,Isidro Casanova,AR,ISO 3166-2:AR,"-37.650894, -65.897084","-36.167212, -58.079474","-34.712999, -58.585162",14/01/2025,14,3,1,Enero,T1,2025
A0000008,A8,16/01/2025,Intervienen a sujetos que distribuían droga ‘Tusi’ preparada artesanalmente,La banda criminal incluso grababa el paso a paso de la elaboración del estupefaciente.,www.atv.pe,https://tinyurl.com/3ehduw7b,Peru,SA,ES,Incidente,Alta,Media,Medio,"TUSI, Delivery, ""Cocinero"" Venezolano, Viralizacion de Receta",Alucinogeno,TUSI,"0,00",Sin datos,Policia Nacional de Peru,San Martin de PORRES,America,America del Sur,Peru,Lima,San Martin de PORRES,PE,ISO 3166-2:PE,"-9.515798, -75.223851","-12.051428, -77.100412","-11.963802, -77.081645",16/01/2025,16,3,2,Enero,T1,2025
A0000009,A9,17/01/2025,Alcalde de Dosquebradas denuncia venta de drogas sintéticas en discotecas y pide medidas urgentes,El mandatario de Dosquebradas denuncia la venta de tusibí en discotecas del municipio y solicita acciones inmediatas para desarticular organizaciones criminales,www.elpereirano.com,https://tinyurl.com/4r976pzv,Colombia,SA,ES,Incidente,Alta,Media,Bajo,"TUSI, Discotecas, Salud Publica, Aumento Violencia",Alucinogeno,TUSI,"0,00",Sin datos,Policia Nacional,Dosquebradas,America,America del Sur,Colombia,Risaralda,Dosquebradas,CO,ISO 3166-2:CO,"4.068636, -72.886327","4.860089, -75.789370","4.835111, -75.676597",17/01/2025,17,3,2,Enero,T1,2025
A0000010,A10,17/01/2025,Las 6 nuevas drogas sintéticas que circulan en Chile,,www.malaespinacheck.cl,https://tinyurl.com/5n6a8264,Chile,SA,ES,Incidente,Alta,Media,Bajo,"Butilona, Bk-2C-B, Estampillas UF-17, Furanil UF-17,  Vaper HC y THC-P",NSP,,"0,00",Sin datos,,,America,America del Sur,Chile,,,CL,ISO 3166-2:CL,"-35.270325, -71.315779","-35.270325, -71.315779","-35.270325, -71.315779",17/01/2025,17,3,2,Enero,T1,2025
A0000011,A11,18/01/2025,"Pionero en producción de metanfetamina en Brasil, mexicano es detenido en SP","Hombre es identificado como el mayor fabricante de droga en el estado de São Paulo, según la Policía Civil",www.cnnbrasil.com.br,https://tinyurl.com/p5ccvsa,Brasil,SA,ES,Incidente,Alta,Media,Medio,"Metanfetamina, Arma de Fuego, Ciudadano Mexicano, Operación “Heisenberg”, Estructura Criminal, Produccion",Estimulante sintetico,Metanfetaminas,"0,040",KG,Policia Civil,Region Central,America,America del Sur,Brasil,San Pablo,Region Central,BR,ISO 3166-2:BR,"-8.843614, -52.200865","-23.612485, -47.144437","-23.546935, -46.632362",18/01/2025,18,3,2,Enero,T1,2025
A0000012,A12,20/01/2025,El gobierno uruguayo admite que es “muy difícil” evitar el ingreso del fentanilo al país,"El Ministerio del Interior advierte que se trata de una sustancia que no requiere de una gran estructura, lo que genera más peligro aún",www.infobae.com,https://tinyurl.com/hd23jbfa,Uruguay,SA,ES,Incidente,Alta,Media,Bajo,"Fentanilo, ""Droga Zombie"", Plataforma Intercambio Informacion, Ministerio del Interior, Mercosur",Opioide Sintetico,Fentanilo,"0,00",Sin datos,,,America,America del Sur,Uruguay,Montevideo,Montevideo,UY,ISO 3166-2:UY,"-32.953025, -55.974972","-34.909352, -56.178759","-34.830674, -56.145811",20/01/2025,20,4,2,Enero,T1,2025
A0000013,A13,21/01/2025,"Chimbote: Pareja es detenida por tráfico de «Tusi», droga sintética que intoxicaba a jóvenes en discotecas",,www.ancashaldia.com,https://tinyurl.com/4yhnsrzz,Peru,SA,ES,Incidente,Alta,Media,Medio,"TUSI, (a) ""BASURA, MDMA, Ketamina, Metanfetamina, Cocaina, Marihuana, Discoteca",Alucinogeno,TUSI,45,Bolsas,Policia Nacional de Peru,Chimbote,America,America del Sur,Peru,Anchash,Chimbote,PE,ISO 3166-2:PE,"-9.515798, -75.223851","-9.391266, -77.936097","-9.080126, -78.584742",21/01/2025,21,4,2,Enero,T1,2025
,A13,21/01/2025,,,,,,,,,,,,,Estimulante y empatogeno,MDMA,14,Bolsas,,,,,,,,,,"-9.515798, -75.223851","-9.391266, -77.936097","-9.080126, -78.584742",21/01/2025,21,4,2,Enero,T1,2025
,A13,21/01/2025,,,,,,,,,,,,,Estimulante sintetico,Metanfetaminas,5,Bolsas,,,,,,,,,,"-9.515798, -75.223851","-9.391266, -77.936097","-9.080126, -78.584742",21/01/2025,21,4,2,Enero,T1,2025
,A13,21/01/2025,,,,,,,,,,,,,Anestesico disociativo,Ketamina,52,Frascos,,,,,,,,,,"-9.515798, -75.223851","-9.391266, -77.936097","-9.080126, -78.584742",21/01/2025,21,4,2,Enero,T1,2025
A0000014,A14,21/01/2025,Hallan arsenal masivo de drogas sintéticas en Curitiba a través de perro detector,"En una operación de rutina que se transformó en una gran incautación, el Grupo de Operaciones Caninas (GOC) de la Guardia Municipal de Curitiba",www.tribunapr.com.br,https://tinyurl.com/3u4fk7f3,Brasil,SA,ES,Incidente,Alta,Media,Medio,"MDMA, Special-K, Cocaina, Marihuana, Crack, Distribucion, Can Detector",Estimulante y empatogeno,MDMA,49,Pastillas,Guardia Municipal de Curitiba,Parolin,America,America del Sur,Brasil,Parana,Curitiba,BR,ISO 3166-2:BR,"-8.843614, -52.200865","-25.429297, -49.277458","-25.460417, -49.262632",21/01/2025,21,4,2,Enero,T1,2025
,A14,21/01/2025,,,,,,,,,,,,,Anestesico disociativo,Ketamina,29,Paquetes,,,,,,,,,,"-8.843614, -52.200865","-25.429297, -49.277458","-25.460417, -49.262632",21/01/2025,21,4,2,Enero,T1,2025
A0000015,A15,24/01/2025,Seguimos capturando personas relacionadas con el tráfico de sustancias sintéticas,Seguimos con los diferentes controles en pro de la reducción de la venta de estupefacientes en especial las sustancias sintéticas,www.policia.gov.co,https://tinyurl.com/5n7vmf56,Colombia,SA,ES,Incidente,Media,Media,Medio,"TUSI, MDMA, Anfetaminas, Marihuana, Grupo delincuencial Cordillera, (A) ""Pow""",Alucinogeno,TUSI,"0,00",Sin datos,Policia Nacional,Pereira,America,America del Sur,Colombia,Risaralda,Pereira,CO,ISO 3166-2:CO,"4.068636, -72.886327","4.860089, -75.789370","4.802567, -75.715280",24/01/2025,24,4,2,Enero,T1,2025
,A15,24/01/2025,,,,,,,,,,,,,Estimulante y empatogeno,MDMA,"0,00",Sin datos,,,,,,,,,,"4.068636, -72.886327","4.860089, -75.789370","4.802567, -75.715280",24/01/2025,24,4,2,Enero,T1,2025
,A15,24/01/2025,,,,,,,,,,,,,Estimulante sintetico,Anfetamina,"0,00",Sin datos,,,,,,,,,,"4.068636, -72.886327","4.860089, -75.789370","4.802567, -75.715280",24/01/2025,24,4,2,Enero,T1,2025
A0000016,A16,25/01/2025,Incautaron un auto con casi 700 pastillas de éxtasis,La droga sintética era llevada en siete bolsitas de polietileno colocadas dentro de un apoyabrazos,www.radiodos.com.ar,https://tinyurl.com/5eyr8ta7,Argentina,SA,ES,Incidente,Alta,Media,Medio,"MDMA, Control Vehicular, Apoya Brazos",Estimulante y empatogeno,MDMA,695,Pastillas,Gendarmeria Nacional Argentina,Cuay Grande,America,America del Sur,Argentina,Corrientes,Cuay Grande,AR,ISO 3166-2:AR,"-37.650894, -65.897084","-28.827829, -57.795509","-28.664744, -56.291784",25/01/2025,25,4,2,Enero,T1,2025
A0000017,A17,26/01/2025,"“Tussi brutal”, la peligrosa droga que puede inducir al suicidio y que tendría fentanilo en su composición: hay alerta en Medellín","Este opiáceo, 50 veces más potente que la heroína, es extremadamente adictivo y letal en dosis muy bajas",www.infobae.com,https://tinyurl.com/5ab3enjb,Colombia,SA,ES,Incidente,Alta,Media,Bajo,"TUSI, FENTANILO, TUSI BRUTAL",Alucinogeno,TUSI,"0,00",Sin datos,,El Poblado,America,America del Sur,Colombia,Medellin,El Poblado,CO,ISO 3166-2:CO,"4.068636, -72.886327","6.252041, -75.586361","6.209441, -75.568379",26/01/2025,26,4,2,Enero,T1,2025
A0000018,A18,27/01/2025,"20 detenidos, secuestro marihuana, LSD y cocaína, el saldo de operativos en Jujuy",,www.pregon.com.ar,https://tinyurl.com/5n923zch,Argentina,SA,ES,Incidente,Alta,Alta,Medio,"LSD, Cocaina, Marihuana, San Salvador de Jujuy, Alto Comedero, Mariano Moreno y Humahuaca",Alucinogeno,LSD,"0,0022",KG,Dirección de Narcotráfico de la Policía,Humahuaca,America,America del Sur,Argentina,Jujuy,Humahuaca,AR,ISO 3166-2:AR,"-37.650894, -65.897084","-23.208172, -65.350092","-23.208172, -65.350092",27/01/2025,27,4,2,Enero,T1,2025
A0000019,A19,28/01/2025,"Córdoba: una puerta abierta, un invernadero, un operativo y varias preguntas",Se hallaron cogollos de marihuana y drogas sintéticas.,www.lavoz.com.ar,https://tinyurl.com/3cywrv7s,Argentina,SA,ES,Incidente,Media,Media,Medio,"MDMA, LSD, TUSI, Marihuana, Sistema de cultivo tipo Indoor",Estimulante y empatogeno,MDMA,31,Pastillas,Fuerza Policial Antinarcotráfico,Barrio General Paz,America,America del Sur,Argentina,Cordoba,Cordoba Capital,AR,ISO 3166-2:AR,"-37.650894, -65.897084","-32.681337, -63.045247","-31.417828, -64.174447",28/01/2025,28,4,2,Enero,T1,2025
,A19,28/01/2025,,,,,,,,,,,,,Alucinogeno,LSD,4,Gomitas,,,,,,,,,,"-37.650894, -65.897084","-32.681337, -63.045247","-31.417828, -64.174447",28/01/2025,28,4,2,Enero,T1,2025
,A19,28/01/2025,,,,,,,,,,,,,Alucinogeno,TUSI,"0,0028",KG,,,,,,,,,,"-37.650894, -65.897084","-32.681337, -63.045247","-31.417828, -64.174447",28/01/2025,28,4,2,Enero,T1,2025
A0000020,A20,28/01/2025,"Allanaron el departamento de Fabián Peláez: hallaron marihuana y ""cocaína rosa""","Fabián Peláez, el cirujano plástico detenido por secuestrar y prostituir a su pareja",www.diariohuarpe.com,https://tinyurl.com/259e38zn,Argentina,SA,ES,Incidente,Alta,Baja,Medio,"TUSI, Marihuana, Secuestro y Prostitucion",Alucinogeno,TUSI,"0,00",Sin datos,Policia de la Ciudad,Palermo,America,America del Sur,Argentina,CABA,CABA,AR,ISO 3166-2:AR,"-37.650894, -65.897084","-34.613785, -58.426768","-34.576992, -58.425084",28/01/2025,28,4,2,Enero,T1,2025
A0000021,A21,29/01/2025,Doble arresto por especialización en drogas sintéticas,Los medicamentos son de alto poder adquisitivo y fueron destinados a consumidores con mayor poder adquisitivo.,www.em.com.br,https://tinyurl.com/2zfm5td9,Brasil,SA,ES,Incidente,Alta,Baja,Medio,"MDMA, LSD, Hachis, Cocaina, Skunk, Sales de Baño, Allanamiento, Almacenammiento, Distribucion",Estimulante sintetico,Sal de Baño,"0,00",Sin datos,Unidad Estatal de Combate al Narcotráfico,Santa Ines,America,America del Sur,Brasil,Minas Gerais,Belo Horizonte,BR,ISO 3166-2:BR,"-8.843614, -52.200865","-18.484512, -44.490282","-19.892710, -43.955384",29/01/2025,29,4,2,Enero,T1,2025
,A21,29/01/2025,,,,,,,,,,,,,Estimulante y empatogeno,MDMA,"0,00",Sin datos,,,,,,,,,,"-8.843614, -52.200865","-18.484512, -44.490282","-19.892710, -43.955384",29/01/2025,29,4,2,Enero,T1,2025
,A21,29/01/2025,,,,,,,,,,,,,Alucinogeno,LSD,"0,00",Sin datos,,,,,,,,,,"-8.843614, -52.200865","-18.484512, -44.490282","-19.892710, -43.955384",29/01/2025,29,4,2,Enero,T1,2025
A0000022,A22,30/01/2025,"Cayó alias Pavo, presunto cabecilla de finanzas del Clan del Golfo ...","Además, fueron confiscados cerca de 2 kilogramos de marihuana, más de un kilo de clorhidrato de cocaína, 126 gramos de bazuco y drogas sintéticas como tusi.",www.infobae.com,https://tinyurl.com/h4yjdf5k,Argentina,SA,ES,Incidente,Media,Baja,Bajo,"Tusi, Ejercito Gaitanista de Colombia, Clan del Golfo, (a) ""PAVO""",Alucinogeno,TUSI,"0,00",Sin datos,Ejercito Nacional ,Taraza,America,America del Sur,Colombia,Antioquia,Taraza,CO,ISO 3166-2:CO,"4.068636, -72.886324","6.493807, -75.552400","7.582163, -75.400484",30/01/2025,30,4,2,Enero,T1,2025
A0000023,A23,31/01/2025,Desbaratan punto de venta de drogas en Vicente López,"Agentes de la División Operaciones Área Metropolitana Norte, en el marco de estrictos lineamientos impartidos por el Ministerio de Seguridad",www.zonanortediario.com.ar,https://tinyurl.com/58tkcmne,Argentina,SA,ES,Incidente,Alta,Media,Medio,"Cocaina, MDMA, Marihuana, Ketamina, Comprador Previo, Can Detector",Anestesico disociativo,Ketamina,"0,150",KG,Policia Federal Argentina,Carapachay,America,America del Sur,Argentina,Buenos Aires,Carapachay,AR,ISO 3166-2:AR,"-37.650894, -65.897084","-35.207358, -59.375100","-34.525449, -58.536372",31/01/2025,31,4,2,Enero,T1,2025
,A23,31/01/2025,,,,,,,,,,,,,Estimulante y empatogeno,MDMA,74,Pastillas,,,,,,,,,,"-37.650894, -65.897084","-35.207358, -59.375100","-34.525449, -58.536372",31/01/2025,31,4,2,Enero,T1,2025
A0000024,A24,31/01/2025,Tussi Medellin - Infobae,"Tussi Medellin. “Tussi brutal”, la peligrosa droga que puede inducir al suicidio y que tendría fentanilo en su composición: hay alerta en Medellín. Este ...",www.infobae.com,https://tinyurl.com/6efja58b,Argentina,SA,ES,Incidente,Alta,Alta,Bajo,"Tusi Brutal, Comportamientos Autolesivos, Intentos de Suicidio",Opioide Sintetico,Fentanilo,"0,00",Sin datos,Policia Nacional ,Medellin,America,America del Sur,Colombia,Medellin,,CO,ISO 3166-2:CO,"4.068636, -72.886324","6.252041, -75.586361","6.252041, -75.586361",31/01/2025,31,4,2,Enero,T1,2025
A0000025,A25,31/01/2025,Allanamientos: desmantelaron red de drogas sintéticas y hallaron armas,"El juez, Diego Alejandro Amarante, ordenó que se continuara con la investigación para dar con los responsables.",www.diarioepoca.com,https://tinyurl.com/5nh2k632,Argentina,SA,ES,Incidente,Alta,Alta,Medio,"LSD, MDMA, Ketamina, Drogas Sinteticas, Kit Deteccion Fentanilo, Correo Argentino",Estimulante y empatogeno,MDMA,"0,05",KG,Policia Federal Argentina,San Isidro,America,America del Sur,Argentina,Buenos Aires,San Isidro,AR,ISO 3166-2:AR,"-37.650894, -65.897084","-35.207358, -59.375100","-34.475579, -58.524468",31/01/2025,31,4,2,Enero,T1,2025
,A25,31/01/2025,,,,,,,,,,,,,Alucinogeno,LSD,26,Troqueles,,,,,,,,,,"-37.650894, -65.897084","-35.207358, -59.375100","-34.475579, -58.524468",31/01/2025,31,4,2,Enero,T1,2025
,A25,31/01/2025,,,,,,,,,,,,,Estimulante sintetico,Anfetamina,49,Pastillas,,,,,,,,,,"-37.650894, -65.897084","-35.207358, -59.375100","-34.475579, -58.524468",31/01/2025,31,4,2,Enero,T1,2025
A0000026,A26,31/01/2025,Capturan a 3 personas que camuflaban droga sintética en comida para mascotas,Las 3 personas capturadas se movilizaban en un bus intermunicipal. Detalles del operativo.,www.qhubobogota.com,https://tinyurl.com/yst54zw,Colombia,SA,ES,Incidente,Alta,Media,Bajo,"Anfetamina, Morfina, Alimentos para Mascotas, Bodega de Equipaje",Estimulante sintetico,Anfetamina,5.500,Pastillas,Policia Nacional,El Uval I,America,America del Sur,Colombia,Bogota,El Uval I,CO,ISO 3166-2:CO,"4.068636, -72.886326","4.661261, -74.096815","4.567708, -74.138288",31/01/2025,31,4,2,Enero,T1,2025
A0000027,A27,31/01/2025,Fue desmantelado un laboratorio para el procesamiento de drogas sintéticas en Manizales,La Seccional criminal mediante diligencia de allanamiento y registro en un inmueble ubicado en el barrio La Sultana en Manizales,www.caracol.com.co,https://tinyurl.com/4va6uu4v,Colombia,SA,ES,Incidente,Media,Media,Medio,"MDMA, TUSI, Cristal, Barrio La Sultana",Estimulante y empatogeno,MDMA,307,Pastillas,Policia Nacional,Dosquebradas,America,America del Sur,Colombia,Risaralda,Dosquebradas,CO,ISO 3166-2:CO,"4.068636, -72.886327","4.860089, -75.789370","4.835111, -75.676597",31/01/2025,31,4,2,Enero,T1,2025
,A27,31/01/2025,,,,,,,,,,,,,Alucinogeno,TUSI,"0,457",KG,,,,,,,,,,"4.068636, -72.886327","4.860089, -75.789370","4.835111, -75.676597",31/01/2025,31,4,2,Enero,T1,2025
,A27,31/01/2025,,,,,,,,,,,,,Estimulante sintetico,Cristal,3,Envoltorios,,,,,,,,,,"4.068636, -72.886327","4.860089, -75.789370","4.835111, -75.676597",31/01/2025,31,4,2,Enero,T1,2025
A0000028,A28,31/01/2025,La policía encuentra más de 30.000 pastillas de éxtasis en un laboratorio del Gran São Paulo,"En el laboratorio, ubicado en Suzano, también se encontró gran cantidad de insumos para la fabricación de medicamentos,",www.g1.globo.com,https://tinyurl.com/3883jate,Brasil,SA,ES,Incidente,Alta,Baja,Medio,"MDMA, Laboratorio de producción, Extasis (a) Balas, Insumos para la fabricación de los medicamentos",Estimulante y empatogeno,MDMA,30.000,Pastillas,Policia Civil,Suzano,America,America del Sur,Brasil,San Pablo,Suzano,BR,ISO 3166-2:BR,"-8.843614, -52.200865","-23.612485, -47.144437","-23.565027, -46.312750",31/01/2025,31,4,2,Enero,T1,2025
A0000029,A29,1/02/2025,Droga era vendida con souvenirs: descubren insólita estrategia de comercialización de éxtasis y marihuana en San Miguel,En una intervención de la PNP identificaron pequeños contenedores que incluían una cucharita,www.infobae.com,https://tinyurl.com/4zszcxfc,Peru,SA,ES,Incidente,Alta,Media,Medio,"MDMA, Contenedores, Souvenirs",Estimulante y empatogeno,MDMA,100,Pastillas,Policia Nacional de Peru,San Miguel,America,America del Sur,Peru,Lima,San Miguel,PE,ISO 3166-2:PE,"-9.515798, -75.223851","-12.051428, -77.100412","-12.078686, -77.099431",1/02/2025,1,1,1,Febrero,T1,2025
A0000030,A30,4/02/2025,Golpe a la delincuencia en Bogotá: cayeron 10 traficantes de droga ...,"Los agentes lograron incautar cinco celulares, 500 dosis de marihuana y 500 dosis de otras sustancias psicoactivas. El cabecilla de la organización criminal ...",citytv.eltiempo.com,https://tinyurl.com/yu6azjv2,Colombia,SA,ES,Incidente,Media,Media,Bajo,"Sustancias Psicoativas, Estrega a domicilio, Los Santas",Sin Especificar,Sin Especificar,"0,00",Sin datos,No especificado,Tunjuelito,America,America del Sur,Colombia,Bogota,Bogota,CO,ISO 3166-2:CO,"4.068636, -72.886327","4.661261, -74.096815","4.581186, -74.137870",4/02/2025,4,1,1,Febrero,T1,2025
A0000031,A31,4/02/2025,Cae supuesto microtraficante argentino con varias dosis de drogas en Luque,Un presunto microtraficante de nacionalidad argentina fue detenido en un opertativo policial,www.abc.com.py,https://tinyurl.com/4z2jdb3m,Paraguay,SA,ES,Incidente,Alta,Media,Medio,"Extasis, Cocaina, Marihuana, Tusi, Ketamina, Leonardo SILVA DICO, Policia Federal Argentina",Estimulante y empatogeno,MDMA,73,Pastillas,Policia Antinarcoticos,Luque,America,America del Sur,Paraguay,Departamento Central,Luque,PY,ISO 3166-2:PY,"-22.844084, -58.372629","-25.297431, -57.567686","-25.282412, -57.538864",4/02/2025,4,1,1,Febrero,T1,2025
,A31,4/02/2025,,,,,,,,,,,,,Alucinogeno,TUSI,"0,00",Sin datos,,,,,,,,,,"-22.844084, -58.372629","-25.297431, -57.567686","-25.282412, -57.538864",4/02/2025,4,1,1,Febrero,T1,2025
A0000032,A32,5/02/2025,Incautan más de 20 mil dosis de droga en búnker de Cerrillos: tenía sistema cerrado de videovigilancia,Carabineros de la 34ª Comisaría de Cerrillos realizó un control de identidad a un hombre durante patrullajes preventivos,www.biobiochile.cl,https://tinyurl.com/5n7ccwjt,Chile,SA,ES,Incidente,Alta,Media,Medio,"Cocaina, Pasta Base, Ketamina, Marihuana, Microtrafico, Bunker",Anestesico disociativo,Ketamina,"0,00",Sin datos,Carabineros de Chile,Cerrillos,America,America del Sur,Chile,Region Metropolitana,Cerrillos,CL,ISO 3166-2:CL,"-35.270325, -71.315779","-33.494706, -70.622506","-33.494108, -70.712626",5/02/2025,5,1,1,Febrero,T1,2025
